"ID_DOMINATION","CD_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","CLUB_DOMINANT","DEBUT_DOMINATION","FIN_DOMINATION","SCORE_DOM_AV","SCORE_EXT_AV","SCORE_DOM_AP","SCORE_EXT_AP","ACTION_CREATRICE","NB_TIR_DOM","NB_TIR_EXT","NB_ARRET_DOM","NB_ARRET_EXT","NB_ACTION_DEF","NB_TIR_DIFF","ECART_AV","ECART_AP","ECART_CREE","DUREE"
"FR-1-H_32_26_5669_7","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",30:00:00,32:38:00,19,7,21,7,NA,2,0,2,1,4,1,12,14,2,9480
"FR-1-H_32_26_5669_8","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_CRMHB_35510",37:55:00,41:45:00,24,10,24,13,NA,1,3,1,1,4,0,-14,-11,3,13800
"FR-1-H_32_26_5669_9","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",41:45:00,43:05:00,24,13,26,13,NA,1,0,1,0,1,0,11,13,2,4800
"FR-1-H_32_26_5670_1","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_USAMNG_30918",01:37:00,03:12:00,0,0,0,2,NA,0,2,0,0,1,0,0,2,2,5700
"FR-1-H_32_26_5670_10","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",43:33:00,45:13:00,17,22,20,22,NA,3,0,1,0,2,1,-5,-2,3,6000
"FR-1-H_32_26_5670_11","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",45:47:00,49:05:00,20,23,22,23,NA,2,1,0,1,3,0,-3,-1,2,11880
"FR-1-H_32_26_5670_12","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",54:51:00,57:16:00,24,26,26,26,NA,2,0,0,0,3,0,-2,0,2,8700
"FR-1-H_32_26_5670_2","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",03:12:00,05:10:00,0,2,2,2,NA,1,0,0,0,3,0,-2,0,2,7080
"FR-1-H_32_26_5670_3","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_USAMNG_30918",06:29:00,09:10:00,3,3,3,5,NA,0,2,1,2,5,0,0,2,2,9660
"FR-1-H_32_26_5670_4","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_USAMNG_30918",13:19:00,18:18:00,6,7,6,9,NA,1,2,0,0,7,1,1,3,2,17940
