X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.7;0.52;0.33;0.58;BUT;Avant centre;Avant centre
0.7;0.5;0.36;0.62;POTEAU;Avant centre;Avant centre
0.45;0.38;0.36;0.48;INTERCEPTION;Arrière centre;Arrière centre
0.43;0.57;0.74;0.5;ARRÊT;Avant centre;Avant centre
0.79;0.62;0.4;0.59;ARRÊT;Avant droite;Avant centre
0.43;0.49;0.46;0.53;TIR CONTRÉ;Arrière centre;Avant centre
0.51;0.36;0.61;0.32;ARRÊT;Arrière centre;Arrière centre
0.21;0.5;0.52;0.62;TIR CONTRÉ;Avant gauche;Avant centre
0.5;0.46;0.31;0.44;BUT;Arrière centre;Arrière gauche
0.95;0.47;0.55;0.6;BUT;Arrière droite;Avant centre
0.81;0.41;0.76;0.16;BUT;Arrière droite;Arrière droite
0.6;0.51;0.06;0.06;BUT;Avant centre;Arrière gauche
0.23;0.42;0.03;0.04;ARRÊT;Arrière gauche;Arrière gauche
0.46;0.46;0.54;0.32;ARRÊT;Arrière centre;Arrière centre
0.21;0.35;0.07;0.04;BUT;Arrière gauche;Arrière gauche
0.86;0.55;0.28;0.6;BUT;Avant droite;Avant centre
0.36;0.5;0.18;0.48;INTERCEPTION;Avant centre;Arrière gauche
0.44;0.52;0.38;0.31;INTERCEPTION;Avant centre;Arrière centre
0.76;0.45;0.71;0.29;BUT;Arrière droite;Arrière droite
0.54;0.42;0.57;0.3;INTERCEPTION;Arrière centre;Arrière centre
0.53;0.95;0.52;0.84;BUT;Avant centre;Avant centre
0.21;0.31;0.08;0.05;BUT;Arrière gauche;Arrière gauche
0.81;0.32;0.93;0.13;BUT;Arrière droite;Arrière droite
0.54;0.47;0.3;0.45;ARRÊT;Arrière centre;Arrière gauche
0.3;0.54;0.71;0.62;ARRÊT;Avant centre;Avant centre
0.22;0.33;0.06;0.02;ZONE;Arrière gauche;Arrière gauche
0.7;0.41;0.88;0.6;BUT;Arrière droite;Avant droite
0.48;0.48;0.05;0.05;ARRÊT;Arrière centre;Arrière gauche
0.14;0.43;0.5;0.53;TIR CONTRÉ;Arrière gauche;Avant centre
0.67;0.46;0.9;0.5;TIR CONTRÉ;Arrière droite;Avant droite
0.53;0.96;0.05;0.0;BALLON SORTI;Avant centre;Arrière gauche
0.51;0.54;0.13;0.4;POTEAU;Avant centre;Arrière gauche
0.27;0.39;0.07;0.07;HORS CADRE;Arrière gauche;Arrière gauche
0.77;0.43;0.97;0.04;BUT;Arrière droite;Arrière droite
0.65;0.46;0.46;0.61;TIR CONTRÉ;Arrière centre;Avant centre
0.24;0.41;0.22;0.47;BUT;Arrière gauche;Arrière gauche
0.33;0.45;0.62;0.56;ARRÊT;Arrière centre;Avant centre
0.14;0.22;0.06;0.06;ARRÊT;Arrière gauche;Arrière gauche
0.88;0.49;0.55;0.6;NEUTRALISATION;Arrière droite;Avant centre
0.71;0.44;0.85;0.5;POTEAU;Arrière droite;Avant droite
0.21;0.39;0.05;0.18;POTEAU;Arrière gauche;Arrière gauche
0.7;0.5;0.03;0.04;BUT;Avant centre;Arrière gauche
0.69;0.48;0.84;0.5;NEUTRALISATION;Arrière droite;Avant droite
0.5;0.52;0.44;0.33;PASSE INCOMPLETE;Avant centre;Arrière centre
0.48;0.52;0.41;0.32;BUT;Avant centre;Arrière centre
0.5;0.49;0.6;0.32;ZONE;Arrière centre;Arrière centre
0.64;0.46;0.48;0.31;ARRÊT;Arrière centre;Arrière centre
0.13;0.44;0.46;0.56;BUT;Arrière gauche;Avant centre
0.34;0.45;0.26;0.27;ARRÊT;Arrière centre;Arrière gauche
0.38;0.47;0.24;0.33;BUT;Arrière centre;Arrière gauche
0.79;0.41;0.98;0.05;BUT;Arrière droite;Arrière droite
0.88;0.45;0.56;0.53;NEUTRALISATION;Arrière droite;Avant centre
0.72;0.46;0.48;0.34;ARRÊT;Arrière droite;Arrière centre
0.16;0.36;0.05;0.05;BUT;Arrière gauche;Arrière gauche
0.43;0.47;0.16;0.35;NEUTRALISATION;Arrière centre;Arrière gauche
0.15;0.33;0.49;0.53;ARRÊT;Arrière gauche;Avant centre
0.6;0.56;0.49;0.32;NEUTRALISATION;Avant centre;Arrière centre
0.48;0.41;0.57;0.32;NEUTRALISATION;Arrière centre;Arrière centre
0.52;0.48;0.75;0.49;PASSE INCOMPLETE;Arrière centre;Arrière droite
0.51;0.72;0.92;0.3;PASSE INCOMPLETE;Avant centre;Arrière droite
0.86;0.46;0.49;0.58;NEUTRALISATION;Arrière droite;Avant centre
0.22;0.35;0.04;0.05;BUT;Arrière gauche;Arrière gauche
0.83;0.32;0.98;0.06;ARRÊT;Arrière droite;Arrière droite
0.17;0.47;0.52;0.54;BUT;Arrière gauche;Avant centre
0.48;0.55;0.16;0.52;2 MINUTES;Avant centre;Avant gauche
0.58;0.45;0.49;0.5;PASSE INCOMPLETE;Arrière centre;Avant centre
0.44;0.47;0.55;0.59;HORS CADRE;Arrière centre;Avant centre
