"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"FR-1-H_32_32_5716","FR_LHB_87000",9,TRUE,5
"FR-1-H_32_32_5716","FR_FTHB_31000",4,FALSE,-5
"FR-1-H_32_32_5717","FR_MHB_34000",5,NA,0
"FR-1-H_32_32_5717","FR_CRMHB_35510",6,NA,0
"FR-1-H_32_32_5718","FR_USAMNG_30918",4,FALSE,-4
"FR-1-H_32_32_5718","FR_PSGHB_75016",7,TRUE,4
"FR-1-H_32_32_5719","FR_TFHB_93290",5,FALSE,-10
"FR-1-H_32_32_5719","FR_SRVHB_83700",12,TRUE,10
"FR-1-H_32_33_5720","FR_CRMHB_35510",4,FALSE,-1
"FR-1-H_32_33_5720","FR_PAUC_13100",6,TRUE,1
"FR-1-H_32_33_5721","FR_DHBGL_59140",10,TRUE,4
"FR-1-H_32_33_5721","FR_LHB_87000",8,FALSE,-4
"FR-1-H_32_33_5722","FR_IPHB_13806",7,FALSE,-5
"FR-1-H_32_33_5722","FR_CSMBHB_73000",5,TRUE,5
"FR-1-H_32_33_5723","FR_USIHB_94200",6,FALSE,-8
"FR-1-H_32_33_5723","FR_USAMNG_30918",7,TRUE,8
"FR-1-H_32_33_5724","FR_PSGHB_75016",11,TRUE,13
"FR-1-H_32_33_5724","FR_CCMHB_28000",3,FALSE,-13
"FR-1-H_32_33_5725","FR_SRVHB_83700",7,FALSE,-2
"FR-1-H_32_33_5725","FR_HBCN_44200",9,TRUE,2
"FR-1-H_32_33_5726","FR_FTHB_31000",7,TRUE,2
"FR-1-H_32_33_5726","FR_USCHB_94000",6,FALSE,-2
"FR-1-H_32_33_5727","FR_TFHB_93290",4,FALSE,-1
"FR-1-H_32_33_5727","FR_MHB_34000",10,TRUE,1
"FR-1-H_32_34_5728","FR_CSMBHB_73000",6,NA,0
"FR-1-H_32_34_5728","FR_SRVHB_83700",3,NA,0
"FR-1-H_32_34_5729","FR_CCMHB_28000",6,FALSE,-1
"FR-1-H_32_34_5729","FR_PAUC_13100",7,TRUE,1
"FR-1-H_32_34_5730","FR_USCHB_94000",4,FALSE,-13
"FR-1-H_32_34_5730","FR_PSGHB_75016",10,TRUE,13
"FR-1-H_32_34_5731","FR_LHB_87000",7,TRUE,5
"FR-1-H_32_34_5731","FR_USIHB_94200",6,FALSE,-5
"FR-1-H_32_34_5732","FR_MHB_34000",7,TRUE,4
"FR-1-H_32_34_5732","FR_DHBGL_59140",5,FALSE,-4
"FR-1-H_32_34_5733","FR_HBCN_44200",8,TRUE,20
"FR-1-H_32_34_5733","FR_CRMHB_35510",4,FALSE,-20
"FR-1-H_32_34_5734","FR_USAMNG_30918",6,TRUE,3
"FR-1-H_32_34_5734","FR_TFHB_93290",5,FALSE,-3
"FR-1-H_32_34_5735","FR_FTHB_31000",9,TRUE,9
"FR-1-H_32_34_5735","FR_IPHB_13806",3,FALSE,-9
"FR-1-H_32_35_5736","FR_PAUC_13100",8,TRUE,13
"FR-1-H_32_35_5736","FR_USAMNG_30918",2,FALSE,-13
"FR-1-H_32_35_5737","FR_CRMHB_35510",8,TRUE,3
"FR-1-H_32_35_5737","FR_USCHB_94000",6,FALSE,-3
"FR-1-H_32_35_5738","FR_DHBGL_59140",4,FALSE,-4
"FR-1-H_32_35_5738","FR_HBCN_44200",7,TRUE,4
"FR-1-H_32_35_5739","FR_USIHB_94200",7,FALSE,-1
"FR-1-H_32_35_5739","FR_FTHB_31000",8,TRUE,1
